clusters,db_record_1,db_record_2,db_record_3,db_record_4,db_record_5,score_record_1,score_record_2,score_record_3,score_record_4,score_record_5
1,multilymphoid progenitor cell umbilical cord blood human,monocyte fetal kidney human,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,8.67259367669684,8.65338659910081,8.61054573414538,8.35865977656195,8.27859616817793
2,microglial cell brain mouse,multilymphoid progenitor cell umbilical cord blood human,monocyte fetal kidney human,monocyte spleen mouse,exhausted cd8+ t cell liver human,9.57419016032226,9.34525894699027,9.10490673599146,8.89979775417519,8.75200032493073
3,monocyte fetal kidney human,neutrophil kidney mouse,paneth cell large intestine human,cd1c-cd141- dendritic cell blood human,neutrophil kidney human,10.0467762782199,9.00103446331947,8.78894357684976,8.67589991572738,8.653053062609
4,vascular endothelial cell kidney mouse,gonadal endothelial cell fetal gonad human,mesangial cell kidney mouse,schwalie et al.nature.g2 adipose tissue mouse,endothelial cell lung mouse,8.50764396823624,8.30458692742125,8.25866671974618,8.03837650450128,7.94934526386125
5,mitotic fetal germ cell fetal gonad human,paneth cell intestinal crypt mouse,microglial cell brain human,monocyte fetal kidney human,leydig precursor cell fetal gonad human,9.33016555168068,9.30051981890064,9.25546028503068,9.23544798080509,9.16583119077488
6,cycling basal cell trachea mouse,gonadal endothelial cell fetal gonad human,neural progenitor cell embryonic prefrontal cortex human,paneth cell intestinal crypt mouse,regulatory t (treg) cell liver human,10.2850437996024,9.03212864596721,8.98451322301338,8.95437388740443,8.79393402078408
7,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,medullary cell kidney mouse,podocyte kidney mouse,8.89352862728664,8.69594309918802,8.65080883179301,8.64861146091541,8.64287887491267
8,paneth cell intestinal crypt mouse,mitotic fetal germ cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,regulatory t (treg) cell liver human,plasmacytoid dendritic cell spleen mouse,10.0150996526166,9.98643018356831,9.7079157425155,9.47094419008943,9.43969933438365
9,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,paneth cell large intestine human,microglial cell brain human,9.91862370437238,9.58625578663604,9.49407099293152,9.01986826301753,8.9398237398846
10,monocyte fetal kidney human,microglial cell brain mouse,neutrophil kidney mouse,stage i neutrophil bone marrow mouse,cd1c-cd141- dendritic cell blood human,9.35100792968836,8.66392239672395,8.62074096237347,8.44638447112959,8.33261258738424
11,cycling basal cell trachea mouse,slc16a7+ cell lung human,neuron brain mouse,neural progenitor cell embryonic prefrontal cortex human,multilymphoid progenitor cell umbilical cord blood human,9.43179874533983,8.79288354415381,8.74937165516488,8.36699570989475,8.19666395996639
12,paneth cell intestinal crypt mouse,monocyte fetal kidney human,enteroendocrine precursor cell intestinal crypt mouse,schwalie et al.nature.g2 adipose tissue mouse,microglial cell brain human,9.36862300387723,9.360439321617,9.13837869852726,8.87661187633514,8.83482352387471
13,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,paneth cell large intestine human,cd1c-cd141- dendritic cell blood human,10.2650293510888,9.63458164591342,9.38255699119433,9.10880107983237,9.10099186254807
14,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,microglial cell brain mouse,gonadal endothelial cell fetal gonad human,plasmacytoid dendritic cell spleen mouse,9.15696623959081,8.82003194323633,8.66925155570846,8.61681884320567,8.60805284976223
15,paneth cell intestinal crypt mouse,multilymphoid progenitor cell umbilical cord blood human,slc16a7+ cell lung human,microglial cell brain mouse,neuron brain mouse,8.63821114363968,8.49412859404966,8.40072668053744,8.38322880609912,8.30450602902478
16,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,paneth cell large intestine human,plasmacytoid dendritic cell spleen mouse,9.03658248566281,8.83646122732838,8.32255446181121,8.2021750218473,8.02840660458923
17,microglial cell brain mouse,monocyte fetal kidney human,paneth cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,enteroendocrine precursor cell intestinal crypt mouse,9.43244495317252,9.30007955520658,9.17989496153574,9.00693402994823,8.93205211809144
18,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,leydig precursor cell fetal gonad human,schwalie et al.nature.g2 adipose tissue mouse,9.0803089203356,8.81644888568715,8.75137086576033,8.70032060975322,8.67011191792292
19,microglial cell brain mouse,paneth cell intestinal crypt mouse,multilymphoid progenitor cell umbilical cord blood human,slc16a7+ cell lung human,neuron brain mouse,9.21422301795047,9.20707180768978,9.07563431636101,9.07452962355778,9.06663017204993
20,multilymphoid progenitor cell umbilical cord blood human,paneth cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,enteroendocrine precursor cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,8.60337538113652,8.58360010014706,8.37018583547743,8.31134486281546,8.20014230168677
21,monocyte fetal kidney human,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,10.3006834262724,10.1095024805624,9.67990581917226,9.46510606564632,9.41497496532499
22,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,regulatory t (treg) cell liver human,schwalie et al.nature.g2 adipose tissue mouse,plasmacytoid dendritic cell spleen mouse,9.25745976359252,9.03028121506164,8.84330358281083,8.83987236418537,8.77287539486327
23,cycling basal cell trachea mouse,paneth cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,neural progenitor cell embryonic prefrontal cortex human,9.96915804097589,8.96155917618838,8.90853866425436,8.72081650836365,8.70081265379185
24,slc16a7+ cell lung human,paneth cell intestinal crypt mouse,neuron brain mouse,multilymphoid progenitor cell umbilical cord blood human,enteroendocrine precursor cell intestinal crypt mouse,8.97483080966658,8.51363376560466,8.51272548623092,8.42960669153281,8.24114853173175
25,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,leydig precursor cell fetal gonad human,monocyte fetal kidney human,gonadal endothelial cell fetal gonad human,9.28937029264631,9.16479713010411,9.01113655247073,9.00118177142985,8.99020741471846
26,monocyte fetal kidney human,paneth cell intestinal crypt mouse,mitotic fetal germ cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,regulatory t (treg) cell liver human,9.31579483842519,9.23642499248694,9.15232048454248,9.07390705950951,8.97888790557725
27,paneth cell intestinal crypt mouse,multilymphoid progenitor cell umbilical cord blood human,plasmacytoid dendritic cell spleen mouse,enteroendocrine precursor cell intestinal crypt mouse,monocyte spleen mouse,8.46900437304246,8.44054659819469,8.35340120127012,8.19831950170133,8.15196776578176
28,monocyte fetal kidney human,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,cd1c-cd141- dendritic cell blood human,neutrophil kidney mouse,10.0499444333644,9.53001598547471,9.0710866553595,9.06714687884946,8.93573168425497
29,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,monocyte fetal kidney human,schwalie et al.nature.g2 adipose tissue mouse,gonadal endothelial cell fetal gonad human,8.898299379129,8.65559059179098,8.57475892411523,8.48785409961977,8.47825033821583
30,microglial cell brain mouse,multilymphoid progenitor cell umbilical cord blood human,monocyte spleen mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,9.70964771053517,9.6245264799344,9.23562567915106,9.22383624828762,8.87660395439029
31,mesangial cell kidney mouse,vascular endothelial cell kidney mouse,schwalie et al.nature.g2 adipose tissue mouse,fibrocartilage chondrocyte articular cartilage human,medullary cell kidney mouse,8.00999678776523,7.96793274563872,7.87700044792911,7.81182734104235,7.58149675514607
32,paneth cell intestinal crypt mouse,slc16a7+ cell lung human,enteroendocrine precursor cell intestinal crypt mouse,neuron brain mouse,morula cell (blastomere) embryo mouse,9.02160774763801,8.76826595062528,8.65468068259753,8.64607018276157,8.63844841576034
33,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,9.83461431516456,9.42692907788285,9.21404624387467,8.92407003807943,8.77784022466588
34,monocyte fetal kidney human,paneth cell intestinal crypt mouse,multilymphoid progenitor cell umbilical cord blood human,plasmacytoid dendritic cell spleen mouse,enteroendocrine precursor cell intestinal crypt mouse,9.24300319730229,9.06967017181434,8.85690489669026,8.72205971052511,8.6743676091909
35,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,10.2520090920823,9.5598810770622,9.42467087486394,9.15447846779773,9.14582195252076
36,cycling basal cell trachea mouse,paneth cell intestinal crypt mouse,monocyte fetal kidney human,gonadal endothelial cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,10.4372222254267,9.36327330041494,9.35657604391303,9.25356863271059,9.23660007022882
37,monocyte fetal kidney human,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,10.0110120596068,9.71625329201516,9.3680551878063,9.15764205202811,8.96223783487955
38,schwalie et al.nature.g2 adipose tissue mouse,medullary cell kidney mouse,leydig precursor cell fetal gonad human,fibroblast skin mouse,schwalie et al.nature.g1 adipose tissue mouse,7.83346760154386,7.68790018275425,7.43167960598598,7.35871017538306,7.18424693621685
39,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,9.48666532158372,9.09978030299686,8.95625760659762,8.53448435809874,8.528635511323
40,paneth cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,plasmacytoid dendritic cell spleen mouse,monocyte spleen mouse,enteroendocrine precursor cell intestinal crypt mouse,8.67375969837626,8.49030221240706,8.4444025918033,8.3472588984111,8.32902529672047
41,monocyte fetal kidney human,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,gonadal endothelial cell fetal gonad human,7.9422794546623,7.71814485474153,7.43910513997733,7.43350535290949,7.41037637113424
42,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,paneth cell intestinal crypt mouse,microglial cell brain human,9.98565532620607,9.54596880555708,9.44061379923123,9.07017575370676,9.04973430961027
43,paneth cell intestinal crypt mouse,microglial cell brain mouse,enteroendocrine precursor cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,schwalie et al.nature.g2 adipose tissue mouse,9.09102783619931,8.95878309485795,8.77668958972845,8.60306608487397,8.58113353710356
44,vascular endothelial cell kidney mouse,mesangial cell kidney mouse,gonadal endothelial cell fetal gonad human,schwalie et al.nature.g2 adipose tissue mouse,endothelial cell lung mouse,8.75481262513425,8.44786393809555,8.41303999493292,8.23524360818234,8.17535138948062
45,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,9.74579572001468,9.21718670039171,9.1445599308393,8.63312276078073,8.59576202547487
46,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,paneth cell large intestine human,cd1c-cd141- dendritic cell blood human,9.99009512104665,9.5060112684806,9.22996907365135,8.96985047803913,8.82789295625274
47,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,paneth cell large intestine human,microglial cell brain human,9.24008003686774,8.78663933917779,8.7859844155922,8.26615673382373,8.16562331524857
48,cycling basal cell trachea mouse,paneth cell intestinal crypt mouse,neural progenitor cell embryonic prefrontal cortex human,enteroendocrine precursor cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,9.92409368260628,8.90676590472687,8.86525082009869,8.70146012362448,8.62866036752112
49,mesangial cell kidney mouse,schwalie et al.nature.g2 adipose tissue mouse,fibrocartilage chondrocyte articular cartilage human,schwalie et al.nature.p2 adipose tissue mouse,smooth muscle cell brain mouse,8.52146255230473,8.38557269884888,7.96740482634643,7.88951077242574,7.76943284089026
50,monocyte fetal kidney human,paneth cell intestinal crypt mouse,microglial cell brain human,mitotic fetal germ cell fetal gonad human,plasmacytoid dendritic cell spleen mouse,9.29495783217695,8.51836823740846,8.47401750729646,8.21011580162186,8.19725526342717
51,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,cd1c-cd141- dendritic cell blood human,paneth cell large intestine human,10.3142472806858,9.55501899826642,9.46632296647675,9.2261541877278,9.17699458688727
52,monocyte fetal kidney human,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,multilymphoid progenitor cell umbilical cord blood human,regulatory t (treg) cell liver human,9.52658455345313,9.35740061908521,9.2012120208126,8.92057210142931,8.76840868646285
53,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,schwalie et al.nature.g2 adipose tissue mouse,plasmacytoid dendritic cell spleen mouse,8.98023262599397,8.68280308923834,8.57474598270795,8.49716852811679,8.49326417230174
54,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,mitotic fetal germ cell fetal gonad human,monocyte fetal kidney human,regulatory t (treg) cell liver human,9.54357005281039,9.20902540795773,9.04671052459711,8.99585113080971,8.99262727676817
55,microglial cell brain mouse,multilymphoid progenitor cell umbilical cord blood human,monocyte fetal kidney human,monocyte spleen mouse,microglial cell embryonic prefrontal cortex human,9.42366307484041,9.28749865136797,8.94135231171448,8.9231132120543,8.7295648355459
56,cycling basal cell trachea mouse,paneth cell intestinal crypt mouse,monocyte fetal kidney human,schwalie et al.nature.g2 adipose tissue mouse,gonadal endothelial cell fetal gonad human,8.14590857580811,7.55381452991279,7.43357304924035,7.39371195754501,7.37719375123907
57,cycling basal cell trachea mouse,neuron brain mouse,neural progenitor cell embryonic prefrontal cortex human,multilymphoid progenitor cell umbilical cord blood human,paneth cell intestinal crypt mouse,9.8008290701037,8.77673580484504,8.73501147448997,8.62004248119286,8.58897457019676
58,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,plasmacytoid dendritic cell spleen mouse,schwalie et al.nature.g2 adipose tissue mouse,leydig precursor cell fetal gonad human,8.97686715728339,8.67009203648878,8.47093761915809,8.44573815360159,8.41277574712569
59,monocyte fetal kidney human,paneth cell intestinal crypt mouse,multilymphoid progenitor cell umbilical cord blood human,plasmacytoid dendritic cell spleen mouse,enteroendocrine precursor cell intestinal crypt mouse,8.89064527036333,8.84760725393268,8.77719141663354,8.5513971373923,8.46864963899954
60,multilymphoid progenitor cell umbilical cord blood human,monocyte fetal kidney human,paneth cell intestinal crypt mouse,slc16a7+ cell lung human,enteroendocrine precursor cell intestinal crypt mouse,8.79992515466003,8.62128341054562,8.60577777018253,8.46869295431477,8.41937473635669
61,microglial cell embryonic prefrontal cortex human,microglial cell brain mouse,monocyte fetal kidney human,microglial cell brain human,paneth cell large intestine human,9.58961393403739,9.57838773621831,9.51011096512962,9.33935828345305,8.90060509849306
62,microglial cell brain mouse,monocyte fetal kidney human,microglial cell embryonic prefrontal cortex human,paneth cell large intestine human,microglial cell brain human,10.0647609461687,10.0229039140026,9.71169452224236,9.3541941543086,9.32311818567547
63,paneth cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,schwalie et al.nature.g2 adipose tissue mouse,plasmacytoid dendritic cell spleen mouse,9.05345800395129,8.81423915615746,8.79116337227049,8.62211812049392,8.57932179270322
64,monocyte fetal kidney human,enteroendocrine precursor cell intestinal crypt mouse,paneth cell intestinal crypt mouse,mesangial cell kidney mouse,regulatory t (treg) cell liver human,7.24602699101785,7.19969378181114,6.98074649554917,6.97999636945193,6.91443329520496
65,monocyte fetal kidney human,paneth cell intestinal crypt mouse,mitotic fetal germ cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,microglial cell brain human,9.08403150585152,8.85080457965586,8.73541182754319,8.62300174050151,8.54301980083384
66,cycling basal cell trachea mouse,neuron brain mouse,slc16a7+ cell lung human,paneth cell intestinal crypt mouse,neural progenitor cell embryonic prefrontal cortex human,8.83985908441795,8.56919445810531,8.26119963392719,8.23825182487924,8.19912217814563
67,paneth cell intestinal crypt mouse,mitotic fetal germ cell fetal gonad human,enteroendocrine precursor cell intestinal crypt mouse,regulatory t (treg) cell liver human,monocyte fetal kidney human,9.14585600766772,9.07036036065769,9.01664493177398,9.00439114709421,8.962295634751
68,monocyte fetal kidney human,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,multilymphoid progenitor cell umbilical cord blood human,schwalie et al.nature.g2 adipose tissue mouse,8.86360926599142,8.77370096601114,8.51468043025009,8.37966265355114,8.27896777647114
69,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,paneth cell large intestine human,cd1c-cd141- dendritic cell blood human,9.84816497692955,9.38715343467786,9.27538410067781,8.90940758305371,8.6944523365727
70,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,paneth cell large intestine human,cd1c-cd141- dendritic cell blood human,9.41626621767492,8.96302916501791,8.86097174242248,8.47952796453265,8.32256565398472
71,multilymphoid progenitor cell umbilical cord blood human,paneth cell intestinal crypt mouse,microglial cell brain mouse,neuron brain mouse,enteroendocrine precursor cell intestinal crypt mouse,8.68179184521178,8.58477656283714,8.58461253749682,8.41562389357171,8.33282022295942
72,paneth cell intestinal crypt mouse,enteroendocrine precursor cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,plasmacytoid dendritic cell spleen mouse,microglial cell brain mouse,8.75801885542958,8.4570649851487,8.42319909138371,8.41153016555979,8.38663798673284
73,cycling basal cell trachea mouse,paneth cell intestinal crypt mouse,gonadal endothelial cell fetal gonad human,plasmacytoid dendritic cell spleen mouse,multilymphoid progenitor cell umbilical cord blood human,9.16462321711055,8.55116951964443,8.37809705306829,8.3752811661182,8.37290095018633
74,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,microglial cell brain human,paneth cell large intestine human,9.57678601689127,9.28510848287779,8.98252455031901,8.63773382741431,8.58567055301326
75,microglial cell brain mouse,microglial cell embryonic prefrontal cortex human,monocyte fetal kidney human,paneth cell large intestine human,cd1c-cd141- dendritic cell blood human,9.87650519611859,9.25608187947486,9.06718746836063,8.78433549035166,8.78157224103336
